"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Switzerland","CHE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","91.1284","","","","","","","","","","94.29114","","","","","","","","","","95.71662","","","","","","98.64901","98.55368","","96.70301","","96.26706","","96.87413","","96.40228","","",
"China","CHN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","65.50509","","","","","","","","77.78506","","","","","","","","","","90.92021","","","","","","","","","","95.12448","","","","","","","","96.84089","",
"Cote d'Ivoire","CIV","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.13928","","","","","","","","","","36.35024","","48.74076","","","","","","","","","","","","40.98163","","43.90842","","","","47.16535","",
"Cameroon","CMR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","41.21621","","","","","","","","","","","","","","","","","","","","","","","","68.40916","","","","","","","70.67994","","","71.29051","","","","","","","","77.07104","",
"Congo, Dem. Rep.","COD","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.17299","","","","","","61.20555","","","","","75.01719","","","","77.04268","","","",
"Congo, Rep.","COG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.31117","","","","","","","80.29876","",
"Colombia","COL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.06309","","","91.20716","","","","","","","","92.80378","92.84866","92.29968","92.65179","93.37818","93.24469","93.37233","93.58053","","","94.18625","94.24505","94.65385","","95.09251","",
"Comoros","COM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","47.91923","","","","","","","","","","","","","","","","","","","","68.48923","","","","","","","","","","","","49.19614","","","","","","58.81702","",
"Cabo Verde","CPV","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.79686","","","","","","","","","","76.11044","","","","","","","","","","","","85.32779","","","86.79029","","","","",
"Costa Rica","CRI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","92.62904","","","","","","","","","","","","","","","","94.86819","","","","","","","","","","","97.40658","","","","","","","97.86379","",
"Caribbean small states","CSS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.24558","86.29177","86.55713","86.80342","87.05032","87.29929","86.98089","87.82008","88.10883","88.37471","88.62844","88.88196","89.16519","89.33988","89.92344","90.16816","90.37498","90.60098","90.79542","90.80851","90.8723","91.0397","91.12809","","","","",
"Cuba","CUB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","97.84665","","","","","","","","","","","","","","","","","","","","","99.79907","","","","","","","","","","99.75253","","","","","","","",
"Curacao","CUW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.86782","","","","","","","","","","","","",
"Cyprus","CYP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.36247","","","","","","","","","96.80363","","","","","","","","","","98.67843","","","","","","","","",
"Czech Republic","CZE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","73.06457","","","","","","","","","","","","","","","","","","","","","86.99647","","","","","88.24446","","","89.53873","90.10638","90.15518","90.85815","91.76376","91.99121","93.77846","","","",
"Algeria","DZA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.63088","","","","","","","","","","","","","","","69.8735","","","","72.64868","","75.13605","","","","","","","","","","81.40784","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","63.85319","64.02174","65.13854","66.29557","66.81149","68.50622","69.36495","70.66796","71.71429","72.71467","73.64244","74.88021","79.2214","79.91347","79.78829","81.07844","81.5922","82.06098","82.6045","83.14112","83.67757","89.3178","89.68923","90.02454","90.55639","90.79418","91.17563","91.55072","92.09281","92.46091","92.88403","93.9615","94.20285","94.5054","94.60775","94.45593","94.67794","94.77902","95.19566","95.40914","95.52339","95.72633","95.86556","",
"Early-demographic dividend","EAR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","48.98603","49.2012","49.82176","50.44059","51.03562","51.10604","51.87764","52.82164","53.43306","54.22086","54.87205","55.491","56.3762","57.11584","57.79944","58.65627","59.13958","60.16296","60.949","61.74476","62.53832","63.2736","63.934","66.96062","67.57348","68.25006","68.67834","69.37349","70.40603","71.19556","71.10225","71.24558","72.19948","73.28024","74.12977","75.28231","75.28606","75.91448","76.49256","77.23448","77.95227","78.57369","79.01262","79.35073","",
"East Asia & Pacific","EAS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","65.75903","65.95391","66.98686","68.05797","68.51948","70.11669","70.87751","72.06401","73.02135","73.93725","74.78719","75.96392","79.86816","80.51106","80.41609","81.58446","82.05791","82.48622","83.00355","83.5124","84.02238","89.07652","89.43336","89.79081","90.31353","90.52139","90.90913","91.30444","91.86688","92.24886","92.67141","93.66029","93.93316","94.225","94.26817","94.07541","94.31349","94.42047","94.91781","95.13715","95.25384","95.46465","95.6076","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","93.70716","94.50653","94.76066","94.85047","95.02376","95.20906","95.33103","95.56945","95.60776","95.73018","95.85116","95.9709","96.09277","96.27173","96.38321","96.70797","96.77288","96.88841","96.96607","97.05273","97.12627","97.29123","97.49431","97.45813","97.55349","97.55825","98.08685","98.38939","98.6356","98.76158","98.81141","98.84282","98.87197","98.98786","98.96444","99.0011","",
"Europe & Central Asia","ECS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.67311","95.8122","95.97373","96.09993","96.35246","96.46464","96.58328","96.66436","96.80673","96.89123","96.98104","96.97741","97.13384","97.13419","97.24844","97.41671","97.58114","97.89486","97.99824","98.06956","98.11637","98.16487","98.25469","98.27194","98.33417","",
"Ecuador","ECU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","83.55269","","","","","","","","88.29876","","","","","","","","","","","90.98403","","","","","","92.09679","92.39005","92.24976","91.85404","91.5869","92.06473","93.29463","94.22264","94.45566","94.35023","92.82979","","",
"Egypt, Arab Rep.","EGY","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","38.19676","","","","","","","","","","44.42399","","","","","","","","","","55.587","","","","","","","","","71.37363","66.36991","","","","72.04785","","73.86559","75.06073","","","","71.16825","","",
"Euro area","EMU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.51395","","","","","","64.66297","","","","","","","","","","76.57052","",
"Spain","ESP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","92.80977","","","","","","","","","","96.49497","","","","","","","","","","","","","97.16512","97.75069","","97.93884","97.63061","97.67927","97.7489","97.78375","97.89454","98.07913","98.09372","98.14326","98.25051","","98.4365","",
"Estonia","EST","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.72644","","","","","","","","","","","99.7672","","","","","","","","","","","99.88579","","","","","","","","",
"Ethiopia","ETH","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.01136","","","","","","","","","","35.9","29.82034","","38.99598","","","","","","","","","","51.77118","","",
"European Union","EUU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","55.12725","55.72337","56.22288","56.47195","56.93337","57.12298","57.30622","57.54092","58.45649","58.96649","59.50375","60.36545","61.23717","61.79219","62.63916","63.49874","64.2841","64.4421","64.87568","65.08939","63.21735","63.49915","63.09913","61.12037","61.55183","61.16862","61.36252","61.16073","61.86611","62.22513","62.50688","63.33","63.75516","",
"Finland","FIN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.94289","","","","","","","","","","","","","","","","","","","","","99.08211","","",
"France","FRA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Faroe Islands","FRO","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.23367","","","","","","","","","","","","","","","","","","","82.2838","","","","","","84.66716","",
"United Kingdom","GBR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.65235","","","","","","","","","","","","99.58619","","","99.36426","","",
"Ghana","GHA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.89747","","","","","","","","","","71.49707","","","","","","","","79.03964","",
"Gibraltar","GIB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.55375","","","","","","","29.70402","","","","","","","25.30774","","","","32.00384","","","","","",
"Gambia, The","GMB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.81773","","","","","","","","","","","","","41.95005","","50.77797","","","","",
